Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,1000,,,,-0.0625,-0.025390625,-0.9470703125,-0.0009120688341606404,0.3282760810645943,12.498719916693869,0.03156573966810923,0,0,0.2825610345464812,0,0,0,0,0.5699840494240865,-0.23163512743466916,-0.36455631355167684,0.099609375,0.04547440400030486,0.1,0,1,1,0,0,0,0,,
0.380031794500188,1000,,,,-0.0625,-0.02890625,-0.944140625,-0.0009616623774782701,0.3302138405606412,12.498414956542549,0.036417453753199575,0,0,0.32407324226363315,0,0,0,0,0.5699217595141228,-0.23126943988188198,-0.36473928315142434,0.099609375,0.04476401012762584,0,0,1,1,0,0,0,0,,
0.6252242945001926,1000,,,,-0.0625,-0.0271484375,-0.9455078125,-0.0010012201325459388,0.3238181213549315,12.498468597093268,0.03742632110155368,0,0,0.3335896077178336,0,0,0,0,0.5701107595060748,-0.2311833157409941,-0.3641353783915444,0.099609375,0.04428945141273446,0,0,1,1,0,0,0,0,,
0.8769437945001759,1000,,,,-0.0625,-0.0314453125,-0.9421875,-0.0009633687318991059,0.3255522550635576,12.498869587243497,0.03574054074561728,0,0,0.3276996204136725,0,0,0,0,0.5701322726009345,-0.23144000374047358,-0.36429912097736217,0.099609375,0.04361240330932201,0.1,0,1,1,0,0,0,0,,
1.1224352945001796,1000,,,,-0.0625,-0.0287109375,-0.944921875,-0.0009187620616758338,0.33331609836265974,12.499070410799899,0.03389730535114936,0,0,0.29663629053979235,0,0,0,0,0.5700948916420867,-0.2316884744324592,-0.36503220849613627,0.100390625,0.042848455652163234,0,0,1,1,0,0,0,0,,
1.3749497945001585,1000,,,,-0.0625,-0.0259765625,-0.9466796875,-0.0009580279759411165,0.3324932273193381,12.498917262948101,0.03911884262261399,0,0,0.35408026651251373,0,0,0,0,0.5698745275706905,-0.23125162989398373,-0.3649545103164874,0.099609375,0.042583242419392084,0,0,1,1,0,0,0,0,,
1.6218017945001368,1000,,,,-0.0625,-0.0298828125,-0.94296875,-0.0009111478654023032,0.33387304259359424,12.499182574030996,0.04249681457385643,0,0,0.3926946277704419,0,0,0,0,0.5694287875523878,-0.23116271391347376,-0.3650847969949792,0.099609375,0.042662815862148706,0.1,0,1,1,0,0,0,0,,
1.8721042945001738,1020,,,,-0.0625,-0.026171875,-0.9474609375,-0.0009104738332137204,0.3375609677246349,12.49896416399509,0.038013551096505255,0,0,0.34585490374287764,0,0,0,0,0.5696262374130668,-0.2313370046746026,-0.36543302296755276,0.100390625,0.0422739408936734,0.1,0,1,1,0,0,0,0,,
2.12540029450017,1200,,,,-0.050390625,-0.0091796875,-0.9560546875,-0.008719459822486633,0.3392545831956496,12.481684882585077,0.41878755739930595,98,0,5.05178824348597,0,0,0,0,0.570102778215275,-0.18261342842606912,-0.365592939688637,0.12578125,0.07160439114337594,0.1,0,1,1,0,0,0,0,,
2.3727062945001527,1200,,,,-0.0587890625,-0.0046875,-0.9599609375,-0.028316309252117443,0.39161757660909385,12.483234767495954,0.426580394299357,819,0,5.173352775304274,0,0,0,0,0.6232451931525993,-0.1050782815076721,-0.37053722506872516,0.1484375,0.10301845911234737,0.1,0,1,1,0,0,0,0,,
2.621953794500185,1200,,,,-0.081640625,0.02109375,-0.9498046875,-0.022694226816796222,0.524636290181632,12.486586673791248,0.3278733044061566,976,0,3.9700164149086583,0,0,0,0,0.634943574911923,-0.15052731305487885,-0.38309728777564395,0.1517578125,0.11802362852890572,0.1,0,1,1,0,0,0,0,,
