Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1500,,,,-0.0625,-0.010546875,-0.9603515625,0.0008214371817294201,0.16973735509983331,0.000012519116014626213,-0.02657419120058723,0,0,0,0,0,0,0,0.0890625,,
0.3639570489999838,1500,,,,-0.0625,-0.01171875,-0.9595703125,0.0007651756864475617,0.17253330143756684,0.00004937058531347651,-0.026179435413957963,0,0,0,0,0,0,0,0.08984375,,
0.6143420489999932,1500,,,,-0.0625,-0.006640625,-0.963671875,0.000777079438067393,0.17176030092354755,0.00022174924016702622,-0.02448201024406752,0,0,0,0,0,0,0,0.089453125,,
0.8628630489999661,1500,,,,-0.0625,-0.014453125,-0.9560546875,0.0008056562509906077,0.1698682788392566,0.00016152589894651267,-0.02506818593643989,0,0,0,0,0,0,0,0.08984375,,
1.1138270489999906,1500,,,,-0.0625,-0.013671875,-0.95703125,0.000798787229850898,0.17225544110348776,0.00009853996107497759,-0.026899253005563773,0,0,0,0,0,0,0,0.08984375,,
1.3638275489999565,1500,,,,-0.0625,-0.011328125,-0.9591796875,0.0007679692053909674,0.17450564217401862,0.000037736541955452764,-0.029276208637280192,0,0,0,0,0,0,0,0.08984375,,
1.6199965489999624,1500,,,,-0.0625,-0.0123046875,-0.9583984375,0.0007012055698909223,0.17296006953217652,0.00002316974149202526,-0.029696283713656207,0,0,0,0,0,0,0,0.08984375,,
1.91616704899997,1500,,,,-0.0625,-0.00078125,-0.9697265625,0.0006785708731414422,0.1695559090420846,0.00005503563185364018,-0.025223547006873792,0,0,0,0,0,0,0,0.0890625,,
2.162748548999976,1500,,,,-0.0625,-0.0138671875,-0.95703125,0.0006391050855381126,0.17720564296883148,0.00008640939779949122,-0.024618752904977826,0,0,0,0,0,0,0,0.088671875,,
2.413125548999978,1500,,,,-0.0625,-0.009375,-0.96171875,0.0007847131085734572,0.18037251445515487,0.0001302629429576866,-0.025923418657314033,0,0,0,0,0,0,0,0.0892578125,,
2.6650735489999757,1500,,,,-0.0625,-0.0107421875,-0.960546875,0.000745381690763717,0.17460602234367392,0.00008214041879815658,-0.02455017555378413,0,0,0,0,0,0,0,0.088671875,,
2.9134890489999785,1500,,,,-0.0625,-0.0091796875,-0.961328125,0.0006574761626111561,0.1723260842848271,0.000037807965353331736,-0.023555655141268766,0,0,0,0,0,0,0,0.088671875,,
3.1649950489999847,1500,,,,-0.0625,-0.01484375,-0.955859375,0.0006243491242049896,0.16921679262684097,0.000007807851527635054,-0.02338991734683953,0,0,0,0,0,0,0,0.0888671875,,
3.4153375489999895,1500,,,,-0.0625,-0.014453125,-0.9560546875,0.0006945906689280283,0.1652533640251878,0.0000016252430282511715,-0.02223928865837476,0,0,0,0,0,0,0,0.090234375,,
3.6641750489999425,1500,,,,-0.0625,-0.0123046875,-0.9587890625,0.0008481386970295768,0.16919002376381745,0.000029383822603478224,-0.028145168934569503,0,0,0,0,0,0,0,0.091796875,,
3.9139935489999713,1500,,,,-0.0625,-0.0115234375,-0.959375,0.0008066576299154412,0.1751160390898316,0.000062699863344866,-0.028328121641566027,0,0,0,0,0,0,0,0.091015625,,
4.165124548999965,1500,,,,-0.0625,-0.0115234375,-0.959375,0.0007741034412493345,0.17514174347752234,0.00001756094506088017,-0.025739556651186168,0,0,0,0,0,0,0,0.0908203125,,
4.415239548999979,1500,,,,-0.0625,-0.0091796875,-0.9615234375,0.0007707760101040772,0.17217240342498097,0.000003649717747740512,-0.025468420005663676,0,0,0,0,0,0,0,0.08984375,,
4.664369548999973,1500,,,,-0.0625,-0.0142578125,-0.95703125,0.0006643782450751078,0.16731293289251664,0.00012486853923818477,-0.025245668233262176,0,0,0,0,0,0,0,0.091015625,,
4.913958548999962,1500,,,,-0.0625,-0.0107421875,-0.9603515625,0.0005666408240401356,0.16636534418897805,0.0002342704106259556,-0.027413675183837853,0,0,0,0,0,0,0,0.09140625,,
5.162804048999981,1500,,,,-0.0625,-0.0064453125,-0.9642578125,0.0005140656404569181,0.16921955642147857,0.00016590526279525674,-0.025518557416683085,0,0,0,0,0,0,0,0.08984375,,
5.414704548999981,1500,,,,-0.0625,-0.009375,-0.9609375,0.000686068358843356,0.17368161303105492,0.00012529997719366225,-0.02431169004489437,0,0,0,0,0,0,0,0.08984375,,
5.664293548999983,1500,,,,-0.0625,-0.01484375,-0.955859375,0.000790817971650012,0.1726634875971256,0.0001956520209498166,-0.026961586088901417,0,0,0,0,0,0,0,0.0900390625,,
5.915031548999972,1500,,,,-0.0625,-0.009375,-0.9609375,0.000809384927059228,0.17039055224429395,0.00017879826862854595,-0.024435194543371588,0,0,0,0,0,0,0,0.0896484375,,
6.164453048999993,1500,,,,-0.0625,-0.00703125,-0.9634765625,0.0007418207396797927,0.16633457550094083,0.00008924667716511179,-0.02589729695016334,0,0,0,0,0,0,0,0.088671875,,
6.414077548999968,1500,,,,-0.0625,-0.015234375,-0.955859375,0.00085555610677579,0.1681164906245727,0.00019025942433374037,-0.025688626464012865,0,0,0,0,0,0,0,0.0900390625,,
