Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,,,,,-0.0625,-0.01953125,-0.953125,,,12.497691037943495,0.03502804931493072,0,0,0.32250307714830995,,0,,,,,,0.0703125,0.034971629116420114,0,0,1,1,0,0,0,0,,
0.024075000000186263,,,,,-0.0625,-0.013671875,-0.9609375,-0.00044361150687950387,,12.497509299637757,0.03577975407694796,0,0,0.3320987383396874,0,0,0,0,0.5693336682801079,-0.23983787346312754,,0.0703125,0.035012491056172726,0,0,1,1,0,0,0,0,,
0.05020999999996275,,,,,-0.0625,-0.017578125,-0.95703125,,,12.497615688498282,0.03583775008390762,0,0,0.35159441985909934,,0,,,,,,0.0703125,0.03502180340531767,0,0,1,1,0,0,0,0,,
0.07738999999966473,,,,,-0.0625,0,-0.970703125,,,12.497490560879559,0.03311931924108249,0,0,0.3186800150896436,,0,,,,,,0.0703125,0.03488175186324431,0,0,1,1,0,0,0,0,,
0.10320999999996275,,,,,-0.0625,-0.009765625,-0.9609375,,-0.0032063362391500836,12.497243254958557,0.03338544505644306,0,0,0.3090067210396565,,0,,,,,-0.36540669367492346,0.0703125,0.034880306316726374,0,0,1,1,0,0,0,0,,
0.13334499999973923,,,,,-0.0625,-0.021484375,-0.951171875,,,12.49725899799278,0.036050435653038,0,0,0.3455622954497803,,0,,,,,,0.0703125,0.03501220633576812,0,0,1,1,0,0,0,0,,
0.15550499999988823,,,,,-0.0625,-0.01953125,-0.953125,,,12.497268532392047,0.034584624912271884,0,0,0.32356000281747826,,0,,,,,,0.0703125,0.03494104070261968,0,0,1,1,0,0,0,0,,
0.17840500000026077,,,,,-0.0625,-0.01953125,-0.953125,-0.0004932620046237927,,12.497277482709995,0.03558505541556286,0,0,0.3267713988210005,0,0,0,0,0.5696047570595957,-0.23975894331707545,,0.0703125,0.03499210353596466,0,0,1,1,0,0,0,0,,
0.2038850000007078,,,,,-0.0625,-0.017578125,-0.953125,,,12.497728435313304,0.03477108377727281,0,0,0.3209504216439795,,0,,,,,,0.0703125,0.03495284634860619,0,0,1,1,0,0,0,0,,
0.234429999999702,,,,,-0.0625,-0.00390625,-0.962890625,,,12.497861609890478,0.03412098279334689,0,0,0.31880457498340076,,0,,,,,,0.0703125,0.03491582209359161,0,0,1,1,0,0,0,0,,
0.25663999999966475,,,,,-0.0625,-0.021484375,-0.94921875,,-0.005117749529652425,12.497824226576027,0.03352109193923384,0,0,0.3029240085607369,,0,,,,,-0.3652262117702142,0.0703125,0.03487734440737437,0,0,1,1,0,0,0,0,,
0.28162999999988825,,,,,-0.0625,-0.03125,-0.943359375,,,12.497946134574477,0.035158066577658485,0,0,0.3302310234189788,,0,,,,,,0.068359375,0.034955016716044195,0,0,1,1,0,0,0,0,,
0.3056100000003353,,,,,-0.0625,-0.03125,-0.94140625,,,12.497674370746484,0.036861788163813136,0,0,0.34032598098514477,,0,,,,,,0.068359375,0.03504812877668327,0,0,1,1,0,0,0,0,,
0.32748500000033526,,,,,-0.0625,-0.03125,-0.943359375,-0.0005085505978083486,,12.497329142139579,0.035464604317643526,0,0,0.3258040339356968,0,0,0,0,0.5700166145062656,-0.24001745181795553,,0.068359375,0.034985983056536885,0,0,1,1,0,0,0,0,,
