Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,,,,,-0.0625,-0.037109375,-0.94921875,0.0015796224860442091,,12.5032498358602,0.018577983046165033,0,0,0.1628671681024084,0,0,0,0,0.5580286938357369,-0.24324568688762888,,0.060546875,0.0208763896838182,0,0,1,1,0,0,0,0,,
0.03293999999994412,,,,,-0.0625,-0.037109375,-0.94921875,,,12.502890969257127,0.018350134464990335,0,0,0.14320742713180734,,0,,,,,,0.060546875,0.020840008797730708,0,0,1,1,0,0,0,0,,
0.06732999999995809,,,,,-0.0625,-0.03515625,-0.953125,,-0.014910090325335393,12.502788124491529,0.01806359656025893,0,0,0.14511409967830444,,0,,,,,-0.3732211019176812,0.060546875,0.020797783495133275,0,0,1,1,0,0,0,0,,
0.1114299999999348,,,,,-0.0625,-0.0390625,-0.94921875,,,12.502832801621157,0.019923804246377456,0,0,0.1626206545831851,,0,,,,,,0.060546875,0.020869697865683722,0,0,1,1,0,0,0,0,,
0.14336999999999533,,,,,-0.0625,-0.037109375,-0.947265625,0.0015403567330362466,,12.502777792388121,0.02082206903608142,0,0,0.15970655937485206,0,0,0,0,0.5579378657123855,-0.2429204036215892,,0.05859375,0.020908886318735505,0,0,1,1,0,0,0,0,,
0.19900499999988824,,,,,-0.0625,-0.037109375,-0.947265625,,-0.008080623247079324,12.502977662547112,0.02026655134393512,0,0,0.15798809722330967,,0,,,,,-0.3738659625726518,0.05859375,0.020874404292449644,0,0,1,1,0,0,0,0,,
0.24244499999994878,,,,,-0.0625,-0.037109375,-0.94921875,,,12.503122227082484,0.021306998089591585,0,0,0.15758385655736398,,0,,,,,,0.05859375,0.020925529764952627,0,0,1,1,0,0,0,0,,
0.2936199999998789,,,,,-0.0625,-0.037109375,-0.953125,0.0015060461751035255,,12.503079788525081,0.020131018180396677,0,0,0.14930009886885026,0,0,0,0,0.5584001559702547,-0.24310266054644877,,0.05859375,0.020863527746133804,0,0,1,1,0,0,0,0,,
0.3427849999999162,,,,,-0.0625,-0.037109375,-0.951171875,,-0.014943608034954023,12.503762911119114,0.02187937417275587,0,0,0.17211900744441466,,0,,,,,-0.3732179370657345,0.05859375,0.020954458614719916,0,0,1,1,0,0,0,0,,
0.38298999999999067,,,,,-0.0625,-0.0390625,-0.943359375,,,12.503552389317742,0.02092478426839641,0,0,0.17130962644620165,,0,,,,,,0.05859375,0.02091218442162465,0,0,1,1,0,0,0,0,,
